City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,monrovia,6.3005,-10.7969,27.0,79,10,3.93,LR,1732995152
132,coquimbo,-29.9533,-71.3436,17.85,62,20,5.66,CL,1732995078
133,flying fish cove,-10.4217,105.6791,27.55,85,100,4.32,CX,1732995154
134,ribeira grande,38.5167,-28.7,17.22,59,40,2.06,PT,1732995155
135,columbia,34.0007,-81.0348,11.53,34,40,3.09,US,1732995157
136,kittila,67.6647,24.8936,-15.92,92,0,0.51,FI,1732995158
137,mubende,0.5606,31.39,19.01,78,100,0.83,UG,1732994897
138,lorengau,-2.0226,147.2712,26.94,71,100,1.21,PG,1732995160
139,baikonur,45.6167,63.3167,1.85,79,100,4.03,KZ,1732995162
140,saint-leu,-21.15,55.2833,23.48,84,85,2.64,RE,1732995163
141,yuzhno-kurilsk,44.0306,145.8556,2.39,63,51,7.08,RU,1732995164
142,kavaratti,10.5669,72.642,27.21,70,100,5.76,IN,1732995165
143,myeik,12.4333,98.6,22.73,70,33,2.84,MM,1732995166
144,novodvinsk,64.4165,40.8122,-5.14,85,100,3.21,RU,1732995167
145,jiuquan,39.7432,98.5174,-4.4,34,51,1.16,CN,1732995168
146,obihiro,42.9172,143.2044,0.15,63,0,5.93,JP,1732994972
147,yaya,56.206,86.44,-9.8,96,51,2.43,RU,1732995170
148,edinburgh of the seven seas,-37.0676,-12.3116,17.29,93,100,14.38,SH,1732995171
149,yeed,4.55,43.0333,29.33,28,10,2.91,SO,1732995172
150,muisne,0.6,-80.0333,24.88,77,83,5.1,EC,1732995173
151,fort stockton,30.894,-102.8793,19.31,30,0,2.57,US,1732995091
152,college,64.8569,-147.8028,-23.03,70,100,1.54,US,1732995175
153,jennings,38.7192,-90.2604,-0.06,85,100,2.06,US,1732995177
154,touros,-5.1989,-35.4608,26.11,71,15,5.17,BR,1732995178
155,qaqortoq,60.7167,-46.0333,-8.35,62,100,4.08,GL,1732995160
156,binzhou,37.3667,118.0167,6.82,50,53,2.21,CN,1732995180
157,guane,22.2025,-84.0875,28.28,58,86,3.88,CU,1732995181
158,dryden,49.7833,-92.7503,-8.84,79,100,4.63,CA,1732995182
159,kadisehri,39.9957,35.7919,-10.54,95,5,2.31,TR,1732995183
160,jamestown,42.097,-79.2353,-2.77,68,100,9.26,US,1732995128
161,pobe,6.9801,2.6649,25.42,40,100,1.69,BJ,1732995185
162,kingston,17.997,-76.7936,31.53,70,40,8.23,JM,1732995058
163,nyurba,63.2842,118.3319,-37.04,100,73,1.53,RU,1732995188
164,usogorsk,63.4106,48.6872,-6.0,93,100,3.61,RU,1732995169
165,ouadda,8.0777,22.4007,20.91,34,22,2.14,CF,1732995191
166,tolanaro,-25.0319,46.9987,21.04,88,20,0.0,MG,1732995192
167,kruisfontein,-34.0033,24.7314,15.7,81,96,2.37,ZA,1732995193
168,howrah,22.5892,88.3103,20.0,88,75,1.54,IN,1732995194
169,baki,-7.6128,110.7839,24.78,87,100,3.27,ID,1732995195
170,laguna,38.421,-121.4238,11.93,76,0,2.06,US,1732995138
171,kavieng,-2.5744,150.7967,27.69,76,95,1.28,PG,1732995197
172,byron bay,-28.65,153.6167,22.23,95,100,5.18,AU,1732995198
173,laitila,60.8758,21.6977,4.96,81,100,5.65,FI,1732995199
174,siqueira campos,-23.6889,-49.8339,31.18,47,79,1.79,BR,1732995200
175,mersa matruh,31.3525,27.2453,15.11,72,0,2.57,EG,1732995201
176,new norfolk,-42.7826,147.0587,16.62,100,100,0.73,AU,1732995178
177,tosontsengel,48.7567,98.2839,-18.34,90,23,0.77,MN,1732995204
178,east ballina,-28.8667,153.5833,22.36,94,100,5.34,AU,1732995205
179,galveston,29.3669,-94.9669,16.98,73,100,5.14,US,1732995206
180,tamanrasset,22.785,5.5228,15.34,21,0,1.24,DZ,1732995207
181,fort bragg,35.139,-79.006,10.51,24,0,4.63,US,1732995208
182,lompoc,34.6391,-120.4579,21.62,55,75,0.0,US,1732995209
183,sorong,-0.8833,131.25,26.55,86,100,1.97,ID,1732995210
184,barra de santo antonio,-9.4047,-35.5072,26.0,73,70,5.08,BR,1732995211
185,berezovyy,51.6667,135.7,-10.25,91,99,1.99,RU,1732995212
186,kapuskasing,49.4169,-82.4331,-4.95,93,100,4.12,CA,1732995213
187,xichang,27.8964,102.2634,6.72,87,1,0.5,CN,1732995215
188,onega,63.9061,38.1404,-4.78,86,100,3.41,RU,1732995216
189,sulya,12.5667,75.3833,23.19,82,100,0.57,IN,1732995217
190,kununurra,-15.7667,128.7333,27.99,89,64,0.0,AU,1732995218
191,ray,23.6833,85.05,14.8,57,92,0.86,IN,1732995220
192,cruzeiro do sul,-29.5128,-51.9853,29.73,65,96,3.71,BR,1732995221
193,gebeit,21.0667,36.3167,17.97,70,0,1.57,SD,1732995223
194,kiama,-34.6833,150.8667,20.21,97,100,0.89,AU,1732995224
195,archangelos,36.2149,28.1149,15.73,79,84,6.51,GR,1732995227
196,ust-nera,64.5667,143.2,-22.55,100,58,0.42,RU,1732995138
197,hwange,-18.3693,26.5019,24.41,62,91,1.37,ZW,1732995229
198,siwa oasis,29.2041,25.5195,16.14,55,0,0.56,EG,1732995230
199,sept-iles,50.2001,-66.3821,0.03,76,75,6.17,CA,1732995231
200,puerto real,36.5282,-6.1901,20.09,73,0,4.63,ES,1732995232
201,kayangel,8.0823,134.7173,29.31,73,92,4.61,PW,1732995138
202,saint-francois,46.4154,3.9054,1.69,100,35,1.54,FR,1732995234
203,safford,32.834,-109.7076,19.86,31,0,2.57,US,1732995235
204,ambon,-3.6954,128.1814,30.13,100,40,2.06,ID,1732995236
205,toliara,-23.35,43.6667,23.78,64,0,7.79,MG,1732995238
206,elin-yurt,43.6731,44.9589,4.84,73,98,2.18,RU,1732995239
207,asmara,15.3333,38.9333,13.15,94,87,2.01,ER,1732995240
208,saint-philippe,-21.3585,55.7679,24.03,84,45,3.9,RE,1732995241
209,lloret de mar,41.6999,2.8457,14.73,91,61,1.34,ES,1732995242
210,agat village,13.3886,144.6585,26.31,91,0,2.57,GU,1732995244
211,colonia,50.9333,6.95,4.58,77,0,4.63,DE,1732995000
212,keflavik,64.0049,-22.5624,-2.76,74,40,12.86,IS,1732995246
213,cabo san lucas,22.8909,-109.9124,26.17,57,20,4.12,MX,1732995247
214,talnakh,69.4865,88.3972,-12.38,83,100,7.73,RU,1732995157
215,sisimiut,66.9395,-53.6735,-12.21,81,98,4.78,GL,1732995206
